职位链接,职位,公司,公司链接,相关性质,职责描述
https://jobs.zhaopin.com/CC368972787J00146803207.htm,java开发工程师（+项目奖金）  ,java开发工程师（+项目奖金）  , 深圳市迈集网络科技有限公司,6K-12K 深圳-福田区 3-5年 大专 民营  20-99人 ,五险一金; 加班补助; 带薪年假; 节日福利; 年终分红; 【最新】
https://jobs.zhaopin.com/144106347250324.htm,java软件工程师  ,java软件工程师  , 新晔电子(深圳)有限公司,10K-15K 深圳 3-5年 大专 外商独资  500-999人 ,节日福利; 五险一金; 绩效奖金; 定期体检; 免费班车; 【最新】
https://jobs.zhaopin.com/CC255632314J00130535208.htm,java开发工程师  ,java开发工程师  , 深圳市思迪信息技术股份有限公司,10K-20K 深圳 3-5年 大专 民营  500-999人 ,每年多次调薪; 周末双休; 五险一金; 弹性工作; 定期体检; 【最新】
https://jobs.zhaopin.com/CC255632314J00139962008.htm,java开发工程师-新媒体  ,java开发工程师-新媒体  , 深圳市思迪信息技术股份有限公司,10K-16K 深圳 3-5年 大专 民营  500-999人 ,【最新】
https://jobs.zhaopin.com/CC435485814J00076939406.htm,java开发  ,java开发  , 深圳市博悦科创科技有限公司,10K-18K 深圳 1-3年 本科 民营  500-999人 ,【最新】
https://jobs.zhaopin.com/CC255632314J00078852508.htm,java中高级开发工程师-通用组件研发部  ,java中高级开发工程师-通用组件研发部  , 深圳市思迪信息技术股份有限公司,9K-18K 深圳 3-5年 大专 民营  500-999人 ,五险一金; 周末双休; 弹性工作; 【最新】
https://jobs.zhaopin.com/CC255632314J00135409608.htm,java开发工程师-非现场业务产品部  ,java开发工程师-非现场业务产品部  , 深圳市思迪信息技术股份有限公司,8K-12K 深圳 1-3年 大专 民营  500-999人 ,五险一金; 周末双休; 弹性工作; 员工旅游; 节日福利; 【最新】
https://jobs.zhaopin.com/245955819250222.htm,java中级开发工程师  ,java中级开发工程师  , 深圳市宇航软件股份有限公司,10K-15K 深圳 3-5年 大专 上市公司  100-499人 ,五险一金; 带薪年假; 补充医疗保险; 定期体检; 员工旅游; 【最新】
https://jobs.zhaopin.com/293227985250012.htm,中级java开发工程师  ,中级java开发工程师  , 京北方信息技术股份有限公司广州分公司,8K-15K 深圳-福田区 3-5年 本科 民营  10000人以上 ,五险一金; 员工旅游; 【最新】
https://jobs.zhaopin.com/133468036250450.htm,java开发工程师  ,java开发工程师  , 深圳市科脉技术股份有限公司,10K-15K 深圳-南山区 3-5年 本科 上市公司  100-499人 ,五险一金; 绩效奖金; 加班补助; 带薪年假; 弹性工作; 【最新】
https://jobs.zhaopin.com/CC655380822J00165573403.htm,java工程师 中高级  ,java工程师 中高级  , 深圳市多度科技有限公司,10K-16K 深圳 经验不限 大专 民营  100-499人 ,五险一金; 餐补; 全勤奖; 周末双休; 节日福利; 【最新】
https://jobs.zhaopin.com/CZ828086950J00139146108.htm,java架构师  ,java架构师  , 深圳摇铃科技有限公司,15K-30K 深圳 5-10年 本科 民营  20人以下 ,创业公司; 股票期权; 五险一金; 餐补; 带薪年假; 【最新】
https://jobs.zhaopin.com/CC290512286J00172021405.htm,java开发工程师(dpj0001)  ,java开发工程师(dpj0001)  , 深圳达普信科技有限公司,8K-15K 深圳 3-5年 本科 股份制企业  100-499人 ,节日福利; 五险一金; 加班补助; 带薪年假; 定期体检; 【最新】
https://jobs.zhaopin.com/CC157197420J00149664207.htm,java开发工程师  ,java开发工程师  , 深圳市神盾信息技术有限公司,10K-16K 深圳-南山区 3-5年 本科 民营  100-499人 ,节日福利; 五险一金; 年底双薪; 通讯补助; 带薪年假; 【最新】
https://jobs.zhaopin.com/000212281260377.htm,高级java开发工程师-深圳（银行票据）  ,高级java开发工程师-深圳（银行票据）  , 恒生电子股份有限公司,12K-20K 深圳 3-5年 本科 上市公司  1000-9999人 ,五险一金; 股票期权; 交通补助; 餐补; 带薪年假; 【最新】
https://jobs.zhaopin.com/CC429172232J00105806208.htm,java后台开发工程师  ,java后台开发工程师  , 深圳优泰文创运营发展有限公司,10K-20K 深圳 5-10年 大专 民营  20-99人 ,周末双休; 员工旅游; 绩效奖金; 五险一金; 【最新】
https://jobs.zhaopin.com/CC455933788J00127547303.htm,java中级工程师-XMGJ  ,java中级工程师-XMGJ  , 深圳瀚德金融科技控股有限公司,14K-19K 深圳 3-5年 本科 民营  100-499人 ,五险一金; 绩效奖金; 定期体检; 节日福利; 【最新】
https://jobs.zhaopin.com/143806558250085.htm,java中级开发工程师  ,java中级开发工程师  , 深圳市紫川软件有限公司,10K-15K 深圳 3-5年 大专 民营  500-999人 ,五险一金; 年底双薪; 绩效奖金; 加班补助; 全勤奖; 【最新】
https://jobs.zhaopin.com/CC251155312J00072714304.htm,java研发工程师  ,java研发工程师  , 深圳市智腾达软件技术有限公司,10K-18K 深圳 3-5年 大专 民营  100-499人 ,周末双休; 五险一金; 年底双薪; 全勤奖; 节日福利; 【最新】
https://jobs.zhaopin.com/143806558250080.htm,java高级开发工程师  ,java高级开发工程师  , 深圳市紫川软件有限公司,10K-15K 深圳 5-10年 大专 民营  500-999人 ,五险一金; 年底双薪; 绩效奖金; 全勤奖; 带薪年假; 【最新】
https://jobs.zhaopin.com/350770413250092.htm,中级java开发工程师（金融项目方向)  ,中级java开发工程师（金融项目方向)  , 深圳兴融联科技股份有限公司,10K-15K 深圳 3-5年 大专 民营  100-499人 ,五险一金; 年底双薪; 带薪年假; 员工旅游; 【最新】
https://jobs.zhaopin.com/CC322998516J00031434504.htm,java开发工程师  ,java开发工程师  , 深圳市奥晏科技发展有限公司,10K-15K 深圳 3-5年 大专 民营  100-499人 ,【最新】
https://jobs.zhaopin.com/186002112250012.htm,高级java工程师  ,高级java工程师  , 深圳市捷为科技有限公司,15K-25K 深圳-南山区 5-10年 本科 民营  20-99人 ,五险一金; 绩效奖金; 年终分红; 带薪年假; 节日福利; 【最新】
https://jobs.zhaopin.com/CC186002112J00118221504.htm,高级java工程师/系统架构师  ,高级java工程师/系统架构师  , 深圳市捷为科技有限公司,15K-30K 深圳-南山区 5-10年 本科 民营  20-99人 ,五险一金; 绩效奖金; 带薪年假; 节日福利; 员工旅游; 【最新】
https://jobs.zhaopin.com/CC411372434J00108029604.htm,java开发工程师  ,java开发工程师  , 深圳市达博威科技有限公司,10K-18K 深圳 3-5年 大专 合资  500-999人 ,五险一金; 年底双薪; 节日福利; 员工旅游; 定期体检; 【最新】
https://jobs.zhaopin.com/304718382250039.htm,java工程师  ,java工程师  , 深圳市永联科技股份有限公司,10K-15K 深圳-南山区 经验不限 本科 上市公司  100-499人 ,五险一金; 股票期权; 包住; 餐补; 带薪年假; 【最新】
https://jobs.zhaopin.com/540412322251056.htm,java软件工程师（财务金融类开发）  ,java软件工程师（财务金融类开发）  , 深圳市拜特科技股份有限公司,7.5K-15K 深圳-南山区 1-3年 本科 上市公司  100-499人 ,节日福利; 五险一金; 带薪年假; 弹性工作; 补充医疗保险; 【最新】
https://jobs.zhaopin.com/CC165211211J00076704402.htm,高级java工程师  ,高级java工程师  , 深圳市康凯斯信息技术有限公司,15K-25K 深圳-宝安区 5-10年 本科 民营  100-499人 ,五险一金; 周末双休; 年底双薪; 全勤奖; 节日福利; 【最新】
https://jobs.zhaopin.com/CZ731324440J00193034805.htm,java工程师  ,java工程师  , 深圳前海易交域科技有限公司,8K-16K 深圳 3-5年 大专 民营  20-99人 ,周末双休; 五险一金; 加班补助; 年终分红; 每年多次调薪; 【最新】
https://jobs.zhaopin.com/CC447375014J00077754912.htm,java开发初级工程师  ,java开发初级工程师  , 中青才智教育投资(北京)有限公司,5.9K-11.8K 深圳 经验不限 大专 国企  500-999人 ,五险一金; 年底双薪; 加班补助; 全勤奖; 房补; 【最新】
https://jobs.zhaopin.com/CC659685723J00202659505.htm,java开发工程师  ,java开发工程师  , 深圳市融邦企业管理顾问有限公司,6K-12K 深圳-龙华新区 1-3年 本科 民营  20-99人 ,周末双休; 五险一金; 弹性工作; 全勤奖; 交通补助; 【最新】
https://jobs.zhaopin.com/CZ600181880J00151828505.htm,java软件工程师  ,java软件工程师  , 深圳市红门智能科技有限公司,10K-17K 深圳-龙岗区 3-5年 大专 民营  100-499人 ,周末双休; 五险一金; 全勤奖; 包住; 员工旅游; 【最新】
https://jobs.zhaopin.com/462022485250008.htm,中高级java  ,中高级java  , 汇金智融(深圳)科技有限公司,10K-15K 深圳-南山区 经验不限 本科 民营  100-499人 ,五险一金; 年底双薪; 绩效奖金; 加班补助; 每年多次调薪; 【最新】
https://jobs.zhaopin.com/462022485250003.htm,java工程师  ,java工程师  , 汇金智融(深圳)科技有限公司,8K-16K 深圳 3-5年 本科 民营  100-499人 ,五险一金; 年底双薪; 带薪年假; 员工旅游; 节日福利; 【最新】
https://jobs.zhaopin.com/462022485250018.htm,java工程师  ,java工程师  , 汇金智融(深圳)科技有限公司,8K-16K 深圳 经验不限 本科 民营  100-499人 ,每年多次调薪; 五险一金; 年底双薪; 股票期权; 节日福利; 【最新】
